Document ID,text_size,Size Classification (Range),Size Classification (Thirds),File Type
242,9.57,Small,Lower,msg
243,1742310.24,Large,Lower,excel
244,28215.16,Medium,Mid,pdf
245,121.05,Small,Lower,excel
246,423.48,Small,Lower,excel
247,10325.24,Medium,Lower,excel
248,492.08,Small,Lower,pdf
249,3545405.73,Large,Mid,excel
250,780.56,Small,Mid,excel
251,571.66,Small,Mid,excel
252,35.96,Small,Lower,msg
253,377568.87,Large,Lower,pdf
254,21630.75,Medium,Mid,pdf
255,206.73,Small,Lower,excel
256,19836.40,Medium,Mid,excel
257,29090.16,Medium,Mid,pdf
258,120.04,Small,Lower,excel
259,13422.31,Medium,Lower,excel
260,622.79,Small,Mid,excel
261,3850796.20,Large,Mid,excel
262,23869.66,Medium,Mid,pdf
263,28079.54,Medium,Mid,excel
264,2446.88,Medium,Lower,excel
265,8412.41,Medium,Lower,pdf
266,362.46,Small,Lower,excel
267,29185.24,Medium,Mid,pdf
268,68.86,Small,Lower,doc
269,577.15,Small,Mid,excel
270,313.07,Small,Lower,excel
271,12813.39,Medium,Lower,pdf
272,1060491.07,Large,Lower,pdf
273,88.33,Small,Lower,doc
274,409.76,Small,Lower,pdf
275,160.51,Small,Lower,excel
276,40.45,Small,Lower,msg
277,15361.37,Medium,Lower,pdf
278,17.93,Small,Lower,msg
279,10005.72,Medium,Lower,excel
280,114.20,Small,Lower,excel
281,694.03,Small,Mid,pdf
282,636.35,Small,Mid,pdf
283,503.06,Small,Mid,excel
284,7643.70,Medium,Lower,pdf
285,698.06,Small,Mid,excel
286,113.10,Small,Lower,excel
287,351.45,Small,Lower,excel
288,149.72,Small,Lower,pdf
289,114.29,Small,Lower,excel
290,6936.36,Medium,Lower,pdf
291,1278479.84,Large,Lower,pdf
292,602.87,Small,Mid,pdf
293,26887.84,Medium,Mid,pdf
294,8535.12,Medium,Lower,excel
295,22580.43,Medium,Mid,excel
296,615.12,Small,Mid,pdf
297,792.93,Small,Mid,pdf
298,3338918.85,Large,Mid,pdf
299,235.24,Small,Lower,pdf
300,492.28,Small,Lower,excel
301,297908.26,Large,Lower,pdf
302,120.94,Small,Lower,pdf
303,787.80,Small,Mid,pdf
304,16877.93,Medium,Mid,pdf
305,24586.64,Medium,Mid,pdf
306,14410.43,Medium,Lower,pdf
307,529.27,Small,Mid,pdf
308,888.10,Small,Mid,excel
309,970.12,Small,Mid,excel
310,6142.14,Medium,Lower,pdf
311,289.37,Small,Lower,pdf
312,946.68,Small,Mid,excel
313,16011.63,Medium,Mid,excel
314,117.27,Small,Lower,pdf
315,746.52,Small,Mid,pdf
316,88.87,Small,Lower,doc
317,459.29,Small,Lower,pdf
318,738.19,Small,Mid,pdf
319,521.69,Small,Mid,pdf
320,675.70,Small,Mid,pdf
321,64.74,Small,Lower,doc
322,334.99,Small,Lower,pdf
323,624.29,Small,Mid,pdf
324,419.92,Small,Lower,excel
325,190.12,Small,Lower,pdf
326,178.41,Small,Lower,excel
327,643.34,Small,Mid,excel
328,336.68,Small,Lower,excel
329,690.39,Small,Mid,pdf
330,940.97,Small,Mid,pdf
331,588.53,Small,Mid,pdf
332,905.96,Small,Mid,excel
333,20265.61,Medium,Mid,excel
334,748.08,Small,Mid,pdf
335,320.28,Small,Lower,excel
336,792.22,Small,Mid,excel
337,23404.15,Medium,Mid,excel
338,740.73,Small,Mid,excel
339,518.70,Small,Mid,pdf
340,253.90,Small,Lower,pdf
341,6502.56,Medium,Lower,excel
342,785.18,Small,Mid,excel
343,348.59,Small,Lower,pdf
344,16697.66,Medium,Mid,excel
345,948.15,Small,Mid,pdf
346,2213730.69,Large,Lower,pdf
347,19058.27,Medium,Mid,excel
348,25009.42,Medium,Mid,pdf
349,4478346.35,Large,Mid,excel
350,247.60,Small,Lower,pdf
351,7528.66,Medium,Lower,pdf
352,890.31,Small,Mid,pdf
353,721.48,Small,Mid,excel
354,629.24,Small,Mid,excel
355,19994.65,Medium,Mid,excel
356,982.66,Small,Mid,pdf
357,12221.50,Medium,Lower,excel
358,3297776.15,Large,Mid,pdf
359,4324425.31,Large,Mid,pdf
360,267.66,Small,Lower,pdf
361,19938.94,Medium,Mid,pdf
362,1763388.66,Large,Lower,pdf
363,695.25,Small,Mid,pdf
364,616.65,Small,Mid,pdf
365,203.36,Small,Lower,pdf
366,607.36,Small,Mid,pdf
367,774.53,Small,Mid,pdf
368,733.25,Small,Mid,excel
369,151587.69,Large,Lower,pdf
370,29643.33,Medium,Mid,pdf
371,13948.03,Medium,Lower,excel
372,4006656.56,Large,Mid,pdf
373,713.34,Small,Mid,excel
374,243.27,Small,Lower,pdf
375,486.11,Small,Lower,pdf
376,9407.57,Medium,Lower,excel
377,13160.63,Medium,Lower,excel
378,154.74,Small,Lower,pdf
379,2312.63,Medium,Lower,pdf
380,6830.77,Medium,Lower,excel
381,26620.73,Medium,Mid,excel
382,3061610.20,Large,Mid,pdf
383,13330.85,Medium,Lower,excel
384,558.67,Small,Mid,excel
385,611.92,Small,Mid,excel
386,183.61,Small,Lower,pdf
387,285.75,Small,Lower,pdf
388,2213631.56,Large,Lower,excel
389,23148.13,Medium,Mid,excel
390,874.66,Small,Mid,pdf
391,164.49,Small,Lower,pdf
392,23630.79,Medium,Mid,pdf
393,8063.27,Medium,Lower,pdf
394,326.09,Small,Lower,pdf
395,996.45,Small,Mid,excel
396,23908.32,Medium,Mid,pdf
397,4787620.62,Large,Mid,pdf
398,983.98,Small,Mid,pdf
399,549.85,Small,Mid,pdf
400,16418.12,Medium,Mid,excel
401,44.68,Small,Lower,msg
402,460.05,Small,Lower,pdf
403,275.39,Small,Lower,pdf
404,826.22,Small,Mid,pdf
405,18229.07,Medium,Mid,pdf
406,245.33,Small,Lower,excel
407,29176.11,Medium,Mid,excel
408,659.18,Small,Mid,excel
409,201.98,Small,Lower,pdf
410,673451.36,Large,Lower,excel
411,982105.65,Large,Lower,pdf
412,620.33,Small,Mid,excel
413,845.58,Small,Mid,pdf
414,29533.75,Medium,Mid,excel
415,372.79,Small,Lower,excel
416,5682.77,Medium,Lower,excel
417,19638.29,Medium,Mid,excel
418,6917.81,Medium,Lower,excel
419,12240.15,Medium,Lower,pdf
420,3000.29,Medium,Lower,excel
421,26471.31,Medium,Mid,pdf
422,798.54,Small,Mid,excel
423,26972.27,Medium,Mid,excel
424,2017.90,Medium,Lower,excel
425,14089.86,Medium,Lower,pdf
426,11013.09,Medium,Lower,excel
427,29534.85,Medium,Mid,excel
428,25911.56,Medium,Mid,excel
429,12092.93,Medium,Lower,excel
430,20538.49,Medium,Mid,excel
431,12564.75,Medium,Lower,pdf
432,4817.03,Medium,Lower,excel
433,516.33,Small,Mid,pdf
434,21608.66,Medium,Mid,pdf
435,24174.72,Medium,Mid,excel
436,19758.88,Medium,Mid,pdf
437,321.43,Small,Lower,excel
438,833.80,Small,Mid,pdf
439,2158.46,Medium,Lower,pdf
440,324.73,Small,Lower,excel
441,600.76,Small,Mid,excel
442,10262.10,Medium,Lower,pdf
443,76.63,Small,Lower,msg
444,652.68,Small,Mid,excel
445,1596006.40,Large,Lower,excel
446,987.74,Small,Mid,excel
447,825.38,Small,Mid,excel
448,923.56,Small,Mid,pdf
449,540.12,Small,Mid,excel
450,178.71,Small,Lower,excel
451,27921.93,Medium,Mid,pdf
452,2828373.97,Large,Mid,excel
453,311.88,Small,Lower,pdf
454,210.98,Small,Lower,excel
455,1962388.15,Large,Lower,pdf
456,314.69,Small,Lower,excel
457,324.34,Small,Lower,excel
458,28189.48,Medium,Mid,excel
459,403.86,Small,Lower,excel
460,65.02,Small,Lower,msg
461,566.57,Small,Mid,pdf
462,528.93,Small,Mid,pdf
463,983.19,Small,Mid,excel
464,1303.94,Medium,Lower,pdf
465,15053.12,Medium,Lower,pdf
466,5134.65,Medium,Lower,excel
467,545.28,Small,Mid,excel
468,29126.53,Medium,Mid,pdf
469,4234181.45,Large,Mid,excel
470,471.99,Small,Lower,excel
471,196.16,Small,Lower,excel
472,25500.00,Medium,Mid,pdf
473,4812266.64,Large,Mid,excel
474,24019.90,Medium,Mid,pdf
475,19019.98,Medium,Mid,pdf
476,104.34,Small,Lower,pdf
477,323.60,Small,Lower,pdf
478,19924.64,Medium,Mid,pdf
479,187.95,Small,Lower,excel
480,139.76,Small,Lower,excel
481,260.30,Small,Lower,pdf
482,631.39,Small,Mid,pdf
483,124.01,Small,Lower,excel
484,3676116.11,Large,Mid,excel
485,29545.43,Medium,Mid,pdf
486,618.91,Small,Mid,pdf
487,4561.19,Medium,Lower,excel
488,3718.74,Medium,Lower,excel
489,28160.92,Medium,Mid,pdf
490,23797.38,Medium,Mid,excel
491,5.18,Small,Lower,msg
492,3168455.83,Large,Mid,excel
493,6526.57,Medium,Lower,pdf
494,869.34,Small,Mid,excel
495,787.68,Small,Mid,pdf
496,9204.74,Medium,Lower,excel
497,19192.63,Medium,Mid,pdf
498,556.07,Small,Mid,excel
499,171.88,Small,Lower,excel
500,3702.59,Medium,Lower,pdf
501,891.98,Small,Mid,pdf
502,3958.38,Medium,Lower,pdf
503,3147157.67,Large,Mid,pdf
504,908.32,Small,Mid,pdf
505,89.86,Small,Lower,doc
506,27720.44,Medium,Mid,excel
507,378.74,Small,Lower,excel
508,5405.89,Medium,Lower,excel
509,4222890.50,Large,Mid,excel
510,13609.74,Medium,Lower,pdf
511,376.14,Small,Lower,excel
512,477.72,Small,Lower,pdf
513,2806371.11,Large,Mid,pdf
514,933.05,Small,Mid,pdf
515,3.94,Small,Lower,doc
516,872.75,Small,Mid,pdf
517,447.48,Small,Lower,pdf
518,199.46,Small,Lower,pdf
519,26143.61,Medium,Mid,excel
520,209.73,Small,Lower,pdf
521,586.79,Small,Mid,excel
522,318.48,Small,Lower,excel
523,539.40,Small,Mid,pdf
524,2.92,Small,Lower,msg
525,15802.99,Medium,Mid,excel
526,266.90,Small,Lower,pdf
527,815.39,Small,Mid,excel
528,23274.33,Medium,Mid,pdf
529,842.11,Small,Mid,pdf
530,25993.89,Medium,Mid,pdf
531,29112.14,Medium,Mid,pdf
532,9151.85,Medium,Lower,pdf
533,756.24,Small,Mid,excel
534,582.37,Small,Mid,excel
535,155.57,Small,Lower,pdf
536,664.92,Small,Mid,excel
537,4028.23,Medium,Lower,excel
538,14356.55,Medium,Lower,excel
539,975.02,Small,Mid,pdf
540,8034.11,Medium,Lower,pdf
541,4911361.91,Large,Mid,excel
542,473.60,Small,Lower,excel
543,4.75,Small,Lower,doc
544,234.55,Small,Lower,excel
545,345.85,Small,Lower,pdf
546,4355.01,Medium,Lower,pdf
547,28193.61,Medium,Mid,pdf
548,29065.44,Medium,Mid,pdf
549,391.12,Small,Lower,pdf
550,598.36,Small,Mid,pdf
551,969.21,Small,Mid,pdf
552,316.48,Small,Lower,pdf
553,453.00,Small,Lower,excel
554,22.89,Small,Lower,msg
555,746.08,Small,Mid,excel
556,8664.16,Medium,Lower,excel
557,18552.76,Medium,Mid,pdf
558,1295.10,Medium,Lower,pdf
559,10.47,Small,Lower,msg
560,639.31,Small,Mid,pdf
561,584.80,Small,Mid,excel
562,2155796.76,Large,Lower,pdf
563,697.04,Small,Mid,excel
564,745.95,Small,Mid,pdf
565,26.66,Small,Lower,doc
566,5139.27,Medium,Lower,pdf
567,1604783.35,Large,Lower,excel
568,1323723.06,Large,Lower,pdf
569,23538.21,Medium,Mid,excel
570,475.34,Small,Lower,pdf
571,16615.85,Medium,Mid,pdf
572,16920.43,Medium,Mid,excel
573,145.75,Small,Lower,excel
574,77.24,Small,Lower,doc
575,119.01,Small,Lower,pdf
576,414.63,Small,Lower,pdf
577,10456.84,Medium,Lower,excel
578,442.05,Small,Lower,pdf
579,14087.39,Medium,Lower,pdf
580,574.21,Small,Mid,excel
581,780.89,Small,Mid,pdf
582,675.75,Small,Mid,pdf
583,1957711.59,Large,Lower,excel
584,148.92,Small,Lower,excel
585,14590.26,Medium,Lower,pdf
586,679.44,Small,Mid,pdf
587,29927.47,Medium,Mid,excel
588,616.61,Small,Mid,pdf
589,226.94,Small,Lower,excel
590,448.35,Small,Lower,pdf
591,151.57,Small,Lower,pdf
592,342.02,Small,Lower,pdf
593,2966569.48,Large,Mid,excel
594,349.66,Small,Lower,excel
595,2832833.52,Large,Mid,pdf
596,17137.04,Medium,Mid,pdf
597,3093201.64,Large,Mid,excel
598,357.86,Small,Lower,excel
599,988.11,Small,Mid,excel
600,229.53,Small,Lower,pdf
601,809.28,Small,Mid,pdf
602,18660.16,Medium,Mid,excel
603,18370.71,Medium,Mid,pdf
604,34.07,Small,Lower,msg
605,555.66,Small,Mid,excel
606,646.56,Small,Mid,pdf
607,616.72,Small,Mid,pdf
608,655.11,Small,Mid,pdf
609,3415883.14,Large,Mid,pdf
610,46.11,Small,Lower,msg
611,748.51,Small,Mid,excel
612,989.98,Small,Mid,pdf
613,370.65,Small,Lower,excel
614,86.99,Small,Lower,msg
615,4201460.37,Large,Mid,pdf
616,377.30,Small,Lower,excel
617,4418.31,Medium,Lower,pdf
618,6093.98,Medium,Lower,pdf
619,855.14,Small,Mid,pdf
620,629.96,Small,Mid,excel
621,380.27,Small,Lower,excel
622,830.23,Small,Mid,excel
623,6.32,Small,Lower,msg
624,13803.88,Medium,Lower,excel
625,506.58,Small,Mid,excel
626,18954.17,Medium,Mid,excel
627,917.66,Small,Mid,pdf
628,27382.67,Medium,Mid,pdf
629,716.27,Small,Mid,excel
630,6146.05,Medium,Lower,pdf
631,28808.20,Medium,Mid,excel
632,630.87,Small,Mid,excel
633,14040.36,Medium,Lower,excel
634,256.29,Small,Lower,pdf
635,946.54,Small,Mid,excel
636,22267.52,Medium,Mid,excel
637,821.41,Small,Mid,excel
638,27221.49,Medium,Mid,pdf
639,29177.77,Medium,Mid,excel
640,285.26,Small,Lower,pdf
641,671.43,Small,Mid,excel
642,9148.06,Medium,Lower,excel
643,516.06,Small,Mid,pdf
644,534.29,Small,Mid,excel
645,124.08,Small,Lower,excel
646,24083.42,Medium,Mid,pdf
647,10.75,Small,Lower,doc
648,309.65,Small,Lower,pdf
649,10535.75,Medium,Lower,pdf
650,19943.80,Medium,Mid,pdf
651,507.27,Small,Mid,pdf
652,144.47,Small,Lower,excel
653,459.66,Small,Lower,pdf
654,763.36,Small,Mid,pdf
655,20129.22,Medium,Mid,excel
656,3774015.20,Large,Mid,excel
657,60.41,Small,Lower,doc
658,22923.70,Medium,Mid,excel
659,829.37,Small,Mid,pdf
660,20840.76,Medium,Mid,pdf
661,2179424.29,Large,Lower,excel
662,131.55,Small,Lower,excel
663,16590.90,Medium,Mid,pdf
664,481.37,Small,Lower,excel
665,59.21,Small,Lower,doc
666,663.08,Small,Mid,pdf
667,3.46,Small,Lower,msg
668,4656838.81,Large,Mid,pdf
669,23073.21,Medium,Mid,excel
670,27581.26,Medium,Mid,excel
671,266.46,Small,Lower,pdf
672,203.05,Small,Lower,excel
673,4558307.19,Large,Mid,excel
674,221.67,Small,Lower,excel
675,27231.69,Medium,Mid,pdf
676,15.20,Small,Lower,doc
677,12790.50,Medium,Lower,pdf
678,254.34,Small,Lower,pdf
679,2620193.70,Large,Mid,excel
680,188.05,Small,Lower,excel
681,6655.46,Medium,Lower,excel
682,863.62,Small,Mid,excel
683,637.67,Small,Mid,excel
684,0.84,Small,Lower,doc
685,127.13,Small,Lower,pdf
686,103.18,Small,Lower,excel
687,465.35,Small,Lower,pdf
688,847.92,Small,Mid,pdf
689,6863.79,Medium,Lower,excel
690,14.75,Small,Lower,msg
691,978.41,Small,Mid,pdf
692,3193856.75,Large,Mid,excel
693,217.02,Small,Lower,excel
694,13552.28,Medium,Lower,pdf
695,424.87,Small,Lower,excel
696,25942.78,Medium,Mid,pdf
697,126.83,Small,Lower,pdf
698,624.20,Small,Mid,excel
699,3817.47,Medium,Lower,pdf
700,20799.13,Medium,Mid,pdf
701,29503.32,Medium,Mid,pdf
702,22623.73,Medium,Mid,excel
703,933.44,Small,Mid,excel
704,13780.27,Medium,Lower,pdf
705,408.56,Small,Lower,excel
706,6241.73,Medium,Lower,excel
707,754.45,Small,Mid,excel
708,245.58,Small,Lower,excel
709,8229.20,Medium,Lower,excel
710,19889.83,Medium,Mid,pdf
711,27.46,Small,Lower,doc
712,137.00,Small,Lower,pdf
713,754.73,Small,Mid,pdf
714,5000.61,Medium,Lower,pdf
715,20079.42,Medium,Mid,excel
716,1247478.80,Large,Lower,pdf
717,25426.37,Medium,Mid,excel
718,527.94,Small,Mid,excel
719,741.61,Small,Mid,pdf
720,439.91,Small,Lower,excel
721,465.44,Small,Lower,excel
722,203.28,Small,Lower,pdf
723,558.40,Small,Mid,excel
724,36.04,Small,Lower,msg
725,21945.05,Medium,Mid,pdf
726,216.45,Small,Lower,excel
727,42.63,Small,Lower,doc
728,8563.49,Medium,Lower,pdf
729,965.46,Small,Mid,pdf
730,543.85,Small,Mid,excel
731,58.31,Small,Lower,doc
732,400.92,Small,Lower,excel
733,2535021.75,Large,Mid,pdf
734,835.14,Small,Mid,pdf
735,163.02,Small,Lower,pdf
736,91.44,Small,Lower,doc
737,356.87,Small,Lower,pdf
738,807.69,Small,Mid,pdf
739,616.30,Small,Mid,pdf
740,968.73,Small,Mid,excel
741,278.53,Small,Lower,excel
742,1235.67,Medium,Lower,pdf
743,355.96,Small,Lower,pdf
744,265.97,Small,Lower,excel
745,29550.51,Medium,Mid,excel
746,954.81,Small,Mid,excel
747,2265549.50,Large,Lower,pdf
748,26044.10,Medium,Mid,pdf
749,15670.37,Medium,Mid,pdf
750,2560.67,Medium,Lower,pdf
751,368.50,Small,Lower,excel
752,622.98,Small,Mid,excel
753,27974.67,Medium,Mid,pdf
754,900.96,Small,Mid,excel
755,177.08,Small,Lower,pdf
756,15.50,Small,Lower,msg
757,1180121.86,Large,Lower,excel
758,18541.53,Medium,Mid,excel
759,929967.62,Large,Lower,excel
760,24719.72,Medium,Mid,excel
761,26269.02,Medium,Mid,excel
762,114.18,Small,Lower,pdf
763,785.45,Small,Mid,pdf
764,24017.66,Medium,Mid,excel
765,1260777.52,Large,Lower,pdf
766,498.46,Small,Lower,pdf
767,349.67,Small,Lower,pdf
768,11886.40,Medium,Lower,excel
769,893.78,Small,Mid,pdf
770,310.78,Small,Lower,excel
771,72.03,Small,Lower,doc
772,808.91,Small,Mid,excel
773,14545.65,Medium,Lower,pdf
774,562.43,Small,Mid,pdf
775,16744.89,Medium,Mid,excel
776,56.44,Small,Lower,msg
777,658.20,Small,Mid,pdf
778,440.14,Small,Lower,pdf
779,4552.49,Medium,Lower,excel
780,311.72,Small,Lower,pdf
781,707.42,Small,Mid,excel
782,595.67,Small,Mid,excel
783,8435.66,Medium,Lower,excel
784,808.16,Small,Mid,excel
785,16071.19,Medium,Mid,pdf
786,3215897.41,Large,Mid,pdf
787,24019.14,Medium,Mid,excel
788,863.48,Small,Mid,excel
789,11979.01,Medium,Lower,pdf
790,259.53,Small,Lower,pdf
791,12969.78,Medium,Lower,excel
792,653.06,Small,Mid,pdf
793,287.02,Small,Lower,excel
794,943.46,Small,Mid,excel
795,835.78,Small,Mid,pdf
796,784.18,Small,Mid,excel
797,1643706.30,Large,Lower,pdf
798,206.48,Small,Lower,pdf
799,5787.20,Medium,Lower,excel
800,181.94,Small,Lower,excel
801,908.72,Small,Mid,excel
802,118.93,Small,Lower,pdf
803,739.21,Small,Mid,excel
804,10550.63,Medium,Lower,excel
805,779.52,Small,Mid,pdf
